,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,삼천리,동일인측,동일인,동일인,이만득,338390.0,8.34%,-,-,338390.0,8.34%,4055025.0,0.08344954716678689,0,0,0.1618660797405688,0.4073104358172885,
1,비금융회사,삼천리,동일인측,친족,배우자/혈족1촌,,,,,,,,4055025.0,,50,50,,,
2,비금융회사,삼천리,동일인측,친족,혈족2~4촌,이은백,317981.0,7.84%,-,-,317981.0,7.84%,4055025.0,0.07841653257378191,50,50,,,
3,비금융회사,삼천리,동일인측,친족,혈족5~6촌,,,,,,,,4055025.0,,50,50,,,
4,비금융회사,삼천리,동일인측,친족,인척 4촌 이내,,,,,,,,4055025.0,,50,50,,,
5,비금융회사,삼천리,동일인측,친족,친족 합계,/,317981.0,7.84%,-,-,317981.0,7.84%,4055025.0,0.07841653257378191,0,0,0.1618660797405688,0.4073104358172885,
6,비금융회사,삼천리,동일인측,비영리법인,비영리법인,,,,,,,,4055025.0,,50,0,,0.4073104358172885,
7,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,강병일,794.0,0.02%,-,-,794.0,0.02%,4055025.0,0.00019580643769150622,50,0,,0.4073104358172885,
8,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,길형도,199.0,0.00%,-,-,199.0,0.00%,4055025.0,4.907491322494929e-05,50,0,,0.4073104358172885,
9,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,김원중,60.0,0.00%,-,-,60.0,0.00%,4055025.0,1.4796456248728429e-05,50,0,,0.4073104358172885,
10,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,김태석,53.0,0.00%,-,-,53.0,0.00%,4055025.0,1.3070203019710113e-05,50,0,,0.4073104358172885,
11,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,박무철,470.0,0.01%,-,-,470.0,0.01%,4055025.0,0.0001159055739483727,50,0,,0.4073104358172885,
12,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,손원현,1101.0,0.03%,-,-,1101.0,0.03%,4055025.0,0.0002715149721641667,50,0,,0.4073104358172885,
13,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,유상덕,498905.0,12.30%,-,-,498905.0,12.30%,4055025.0,0.12303376674619762,50,0,,0.4073104358172885,
14,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,유재권,280.0,0.01%,-,-,280.0,0.01%,4055025.0,6.905012916073267e-05,50,0,,0.4073104358172885,
15,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,유태봉,120.0,0.00%,-,-,120.0,0.00%,4055025.0,2.9592912497456858e-05,50,0,,0.4073104358172885,
16,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,윤양노,20.0,0.00%,-,-,20.0,0.00%,4055025.0,4.932152082909477e-06,50,0,,0.4073104358172885,
17,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,이성욱,200.0,0.00%,-,-,200.0,0.00%,4055025.0,4.932152082909477e-05,50,0,,0.4073104358172885,
18,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,이찬의,876.0,0.02%,-,-,876.0,0.02%,4055025.0,0.00021602826123143508,50,0,,0.4073104358172885,
19,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,정희돈,100.0,0.00%,-,-,100.0,0.00%,4055025.0,2.4660760414547384e-05,50,0,,0.4073104358172885,
20,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,하찬호,179.0,0.00%,-,-,179.0,0.00%,4055025.0,4.4142761142039816e-05,50,0,,0.4073104358172885,
21,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,현운식,35.0,0.00%,-,-,35.0,0.00%,4055025.0,8.631266145091584e-06,50,0,,0.4073104358172885,
22,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,홍창우,271.0,0.01%,-,-,271.0,0.01%,4055025.0,6.683066072342341e-05,50,0,,0.4073104358172885,
23,비금융회사,삼천리,동일인측,자기주식,자기주식,삼천리,491620.0,12.12%,-,-,491620.0,12.12%,4055025.0,0.12123723034999784,50,0,,0.4073104358172885,
24,비금융회사,삼천리,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,,4055025.0,,1,1,,,
25,비금융회사,삼천리,동일인측,기타 동일인관련자,기타 동일인관련자,유혜숙,157466.0,3.88%,-,-,157466.0,3.88%,4055025.0,0.03883231299437118,-1,-1,0.03883231299437118,0.03883231299437118,
26,비금융회사,삼천리,동일인측,동일인측 합계,동일인측 합계,/,1809120.0,44.61%,-,-,1809120.0,44.61%,4055025.0,0.4461427488116596,50,50,,,
27,비금융회사,삼천리,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,4055025.0,,99,99,0.5538572511883404,0.5538572511883404,
28,비금융회사,삼천리,기타주주,기타,기타,-,2245905.0,55.39%,-,-,2245905.0,55.39%,4055025.0,0.5538572511883404,99,99,0.5538572511883404,0.5538572511883404,
29,비금융회사,삼천리,총 계,총 계,총 계,/,4055025.0,100.00%,-,-,4055025.0,100.00%,4055025.0,1.0,50,50,,,
30,비금융회사,삼천리이엔지,동일인측,동일인,동일인,,,,,,,,9000000.0,,0,0,0.0,0.0,
31,비금융회사,삼천리이엔지,동일인측,친족,배우자/혈족1촌,,,,,,,,9000000.0,,50,50,,,
32,비금융회사,삼천리이엔지,동일인측,친족,혈족2~4촌,,,,,,,,9000000.0,,50,50,,,
33,비금융회사,삼천리이엔지,동일인측,친족,혈족5~6촌,,,,,,,,9000000.0,,50,50,,,
34,비금융회사,삼천리이엔지,동일인측,친족,인척 4촌 이내,,,,,,,,9000000.0,,50,50,,,
35,비금융회사,삼천리이엔지,동일인측,친족,친족 합계,,,,,,,,9000000.0,,0,0,0.0,0.0,
36,비금융회사,삼천리이엔지,동일인측,비영리법인,비영리법인,,,,,,,,9000000.0,,50,0,,0.0,
37,비금융회사,삼천리이엔지,동일인측,등기된 임원,등기된 임원,,,,,,,,9000000.0,,50,0,,0.0,
38,비금융회사,삼천리이엔지,동일인측,자기주식,자기주식,,,,,,,,9000000.0,,50,0,,0.0,
39,비금융회사,삼천리이엔지,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리,9000000.0,100.00%,-,-,9000000.0,100.00%,9000000.0,1.0,1,1,1.0,1.0,삼천리
40,비금융회사,삼천리이엔지,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,9000000.0,,-1,-1,,,
41,비금융회사,삼천리이엔지,동일인측,동일인측 합계,동일인측 합계,/,9000000.0,100.00%,-,-,9000000.0,100.00%,9000000.0,1.0,50,50,,,
42,비금융회사,삼천리이엔지,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,9000000.0,,99,99,0.0,0.0,
43,비금융회사,삼천리이엔지,기타주주,기타,기타,,,,,,,,9000000.0,,99,99,0.0,0.0,
44,비금융회사,삼천리이엔지,총계,총계,총계,/,9000000.0,100.00%,-,-,9000000.0,100.00%,9000000.0,1.0,50,50,,,
45,비금융회사,삼천리이에스,동일인측,동일인,동일인,,,,,,,,12000000.0,,0,0,0.0,0.0,
46,비금융회사,삼천리이에스,동일인측,친족,배우자/혈족1촌,,,,,,,,12000000.0,,50,50,,,
47,비금융회사,삼천리이에스,동일인측,친족,혈족2~4촌,,,,,,,,12000000.0,,50,50,,,
48,비금융회사,삼천리이에스,동일인측,친족,혈족5~6촌,,,,,,,,12000000.0,,50,50,,,
49,비금융회사,삼천리이에스,동일인측,친족,인척 4촌 이내,,,,,,,,12000000.0,,50,50,,,
50,비금융회사,삼천리이에스,동일인측,친족,친족 합계,,,,,,,,12000000.0,,0,0,0.0,0.0,
51,비금융회사,삼천리이에스,동일인측,비영리법인,비영리법인,,,,,,,,12000000.0,,50,0,,0.0,
52,비금융회사,삼천리이에스,동일인측,등기된 임원,등기된 임원,,,,,,,,12000000.0,,50,0,,0.0,
53,비금융회사,삼천리이에스,동일인측,자기주식,자기주식,,,,,,,,12000000.0,,50,0,,0.0,
54,비금융회사,삼천리이에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리,12000000.0,100.00%,-,-,12000000.0,100.00%,12000000.0,1.0,1,1,1.0,1.0,삼천리
55,비금융회사,삼천리이에스,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,12000000.0,,-1,-1,,,
56,비금융회사,삼천리이에스,동일인측,동일인측 합계,동일인측 합계,/,12000000.0,100.00%,-,-,12000000.0,100.00%,12000000.0,1.0,50,50,,,
57,비금융회사,삼천리이에스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,12000000.0,,99,99,0.0,0.0,
58,비금융회사,삼천리이에스,기타주주,기타,기타,,,,,,,,12000000.0,,99,99,0.0,0.0,
59,비금융회사,삼천리이에스,총계,총계,총계,/,12000000.0,100.00%,-,-,12000000.0,100.00%,12000000.0,1.0,50,50,,,
60,비금융회사,삼천리모터스,동일인측,동일인,동일인,,,,,,,,1100975.0,,0,0,0.0,0.0,
61,비금융회사,삼천리모터스,동일인측,친족,배우자/혈족1촌,,,,,,,,1100975.0,,50,50,,,
62,비금융회사,삼천리모터스,동일인측,친족,혈족2~4촌,,,,,,,,1100975.0,,50,50,,,
63,비금융회사,삼천리모터스,동일인측,친족,혈족5~6촌,,,,,,,,1100975.0,,50,50,,,
64,비금융회사,삼천리모터스,동일인측,친족,인척 4촌 이내,,,,,,,,1100975.0,,50,50,,,
65,비금융회사,삼천리모터스,동일인측,친족,친족 합계,,,,,,,,1100975.0,,0,0,0.0,0.0,
66,비금융회사,삼천리모터스,동일인측,비영리법인,비영리법인,,,,,,,,1100975.0,,50,0,,0.0,
67,비금융회사,삼천리모터스,동일인측,등기된 임원,등기된 임원,,,,,,,,1100975.0,,50,0,,0.0,
68,비금융회사,삼천리모터스,동일인측,자기주식,자기주식,,,,,,,,1100975.0,,50,0,,0.0,
69,비금융회사,삼천리모터스,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리이엔지,1100975.0,100.00%,-,-,1100975.0,100.00%,1100975.0,1.0,1,1,1.0,1.0,삼천리이엔지
70,비금융회사,삼천리모터스,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,1100975.0,,-1,-1,,,
71,비금융회사,삼천리모터스,동일인측,동일인측 합계,동일인측 합계,/,1100975.0,100.00%,-,-,1100975.0,100.00%,1100975.0,1.0,50,50,,,
72,비금융회사,삼천리모터스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,1100975.0,,99,99,0.0,0.0,
73,비금융회사,삼천리모터스,기타주주,기타,기타,,,,,,,,1100975.0,,99,99,0.0,0.0,
74,비금융회사,삼천리모터스,총계,총계,총계,/,1100975.0,100.00%,-,-,1100975.0,100.00%,1100975.0,1.0,50,50,,,
75,비금융회사,휴세스,동일인측,동일인,동일인,,,,,,,,10000000.0,,0,0,0.0,0.0,
76,비금융회사,휴세스,동일인측,친족,배우자/혈족1촌,,,,,,,,10000000.0,,50,50,,,
77,비금융회사,휴세스,동일인측,친족,혈족2~4촌,,,,,,,,10000000.0,,50,50,,,
78,비금융회사,휴세스,동일인측,친족,혈족5~6촌,,,,,,,,10000000.0,,50,50,,,
79,비금융회사,휴세스,동일인측,친족,인척 4촌 이내,,,,,,,,10000000.0,,50,50,,,
80,비금융회사,휴세스,동일인측,친족,친족 합계,,,,,,,,10000000.0,,0,0,0.0,0.0,
81,비금융회사,휴세스,동일인측,비영리법인,비영리법인,,,,,,,,10000000.0,,50,0,,0.0,
82,비금융회사,휴세스,동일인측,등기된 임원,등기된 임원,,,,,,,,10000000.0,,50,0,,0.0,
83,비금융회사,휴세스,동일인측,자기주식,자기주식,,,,,,,,10000000.0,,50,0,,0.0,
84,비금융회사,휴세스,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리,5100000.0,51.00%,-,-,5100000.0,51.00%,10000000.0,0.51,1,1,0.51,0.51,삼천리
85,비금융회사,휴세스,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,10000000.0,,-1,-1,,,
86,비금융회사,휴세스,동일인측,동일인측 합계,동일인측 합계,/,5100000.0,51.00%,-,-,5100000.0,51.00%,10000000.0,0.51,50,50,,,
87,비금융회사,휴세스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,10000000.0,,99,99,0.49,0.49,
88,비금융회사,휴세스,기타주주,기타,기타,-,4900000.0,49.00%,-,-,4900000.0,49.00%,10000000.0,0.49,99,99,0.49,0.49,
89,비금융회사,휴세스,총계,총계,총계,/,10000000.0,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0,50,50,,,
90,비금융회사,에스파워,동일인측,동일인,동일인,,,,,,,,27000000.0,,0,0,0.0,0.0,
91,비금융회사,에스파워,동일인측,친족,배우자/혈족1촌,,,,,,,,27000000.0,,50,50,,,
92,비금융회사,에스파워,동일인측,친족,혈족2~4촌,,,,,,,,27000000.0,,50,50,,,
93,비금융회사,에스파워,동일인측,친족,혈족5~6촌,,,,,,,,27000000.0,,50,50,,,
94,비금융회사,에스파워,동일인측,친족,인척 4촌 이내,,,,,,,,27000000.0,,50,50,,,
95,비금융회사,에스파워,동일인측,친족,친족 합계,,,,,,,,27000000.0,,0,0,0.0,0.0,
96,비금융회사,에스파워,동일인측,비영리법인,비영리법인,,,,,,,,27000000.0,,50,0,,0.0,
97,비금융회사,에스파워,동일인측,등기된 임원,등기된 임원,,,,,,,,27000000.0,,50,0,,0.0,
98,비금융회사,에스파워,동일인측,자기주식,자기주식,,,,,,,,27000000.0,,50,0,,0.0,
99,비금융회사,에스파워,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리,13770000.0,51.00%,-,-,13770000.0,51.00%,27000000.0,0.51,1,1,0.51,0.51,삼천리
100,비금융회사,에스파워,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,27000000.0,,-1,-1,,,
101,비금융회사,에스파워,동일인측,동일인측 합계,동일인측 합계,/,13770000.0,51.00%,-,-,13770000.0,51.00%,27000000.0,0.51,50,50,,,
102,비금융회사,에스파워,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,27000000.0,,99,99,0.49,0.49,
103,비금융회사,에스파워,기타주주,기타,기타,-,13230000.0,49.00%,-,-,13230000.0,49.00%,27000000.0,0.49,99,99,0.49,0.49,
104,비금융회사,에스파워,총계,총계,총계,/,27000000.0,100.00%,-,-,27000000.0,100.00%,27000000.0,1.0,50,50,,,
105,비금융회사,안산도시개발,동일인측,동일인,동일인,,,,,,,,500000.0,,0,0,0.0,0.0,
106,비금융회사,안산도시개발,동일인측,친족,배우자/혈족1촌,,,,,,,,500000.0,,50,50,,,
107,비금융회사,안산도시개발,동일인측,친족,혈족2~4촌,,,,,,,,500000.0,,50,50,,,
108,비금융회사,안산도시개발,동일인측,친족,혈족5~6촌,,,,,,,,500000.0,,50,50,,,
109,비금융회사,안산도시개발,동일인측,친족,인척 4촌 이내,,,,,,,,500000.0,,50,50,,,
110,비금융회사,안산도시개발,동일인측,친족,친족 합계,,,,,,,,500000.0,,0,0,0.0,0.0,
111,비금융회사,안산도시개발,동일인측,비영리법인,비영리법인,,,,,,,,500000.0,,50,0,,0.0,
112,비금융회사,안산도시개발,동일인측,등기된 임원,등기된 임원,,,,,,,,500000.0,,50,0,,0.0,
113,비금융회사,안산도시개발,동일인측,자기주식,자기주식,,,,,,,,500000.0,,50,0,,0.0,
114,비금융회사,안산도시개발,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리,249500.0,49.90%,-,-,249500.0,49.90%,500000.0,0.499,1,1,0.499,0.499,삼천리
115,비금융회사,안산도시개발,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,500000.0,,-1,-1,,,
116,비금융회사,안산도시개발,동일인측,동일인측 합계,동일인측 합계,/,249500.0,49.90%,-,-,249500.0,49.90%,500000.0,0.499,50,50,,,
117,비금융회사,안산도시개발,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,안산시,249500.0,49.90%,-,-,249500.0,49.90%,500000.0,0.499,99,99,0.501,0.501,
118,비금융회사,안산도시개발,기타주주,기타,기타,-,1000.0,0.20%,-,-,1000.0,0.20%,500000.0,0.002,99,99,0.501,0.501,
119,비금융회사,안산도시개발,총계,총계,총계,/,500000.0,100.00%,-,-,500000.0,100.00%,500000.0,1.0,50,50,,,
120,비금융회사,청주그린에너지,동일인측,동일인,동일인,,,,,,,,600000.0,,0,0,0.0,0.0,
121,비금융회사,청주그린에너지,동일인측,친족,배우자/혈족1촌,,,,,,,,600000.0,,50,50,,,
122,비금융회사,청주그린에너지,동일인측,친족,혈족2~4촌,,,,,,,,600000.0,,50,50,,,
123,비금융회사,청주그린에너지,동일인측,친족,혈족5~6촌,,,,,,,,600000.0,,50,50,,,
124,비금융회사,청주그린에너지,동일인측,친족,인척 4촌 이내,,,,,,,,600000.0,,50,50,,,
125,비금융회사,청주그린에너지,동일인측,친족,친족 합계,,,,,,,,600000.0,,0,0,0.0,0.0,
126,비금융회사,청주그린에너지,동일인측,비영리법인,비영리법인,,,,,,,,600000.0,,50,0,,0.0,
127,비금융회사,청주그린에너지,동일인측,등기된 임원,등기된 임원,,,,,,,,600000.0,,50,0,,0.0,
128,비금융회사,청주그린에너지,동일인측,자기주식,자기주식,,,,,,,,600000.0,,50,0,,0.0,
129,비금융회사,청주그린에너지,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리이에스,360000.0,60.00%,-,-,360000.0,60.00%,600000.0,0.6,1,1,0.6,0.6,삼천리이에스
130,비금융회사,청주그린에너지,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,600000.0,,-1,-1,,,
131,비금융회사,청주그린에너지,동일인측,동일인측 합계,동일인측 합계,/,360000.0,60.00%,-,-,360000.0,60.00%,600000.0,0.6,50,50,,,
132,비금융회사,청주그린에너지,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,600000.0,,99,99,0.4,0.4,
133,비금융회사,청주그린에너지,기타주주,기타,기타,-,240000.0,40.00%,-,-,240000.0,40.00%,600000.0,0.4,99,99,0.4,0.4,
134,비금융회사,청주그린에너지,총계,총계,총계,/,600000.0,100.00%,-,-,600000.0,100.00%,600000.0,1.0,50,50,,,
135,비금융회사,신승에너지,동일인측,동일인,동일인,,,,,,,,7100000.0,,0,0,0.0,0.0,
136,비금융회사,신승에너지,동일인측,친족,배우자/혈족1촌,,,,,,,,7100000.0,,50,50,,,
137,비금융회사,신승에너지,동일인측,친족,혈족2~4촌,,,,,,,,7100000.0,,50,50,,,
138,비금융회사,신승에너지,동일인측,친족,혈족5~6촌,,,,,,,,7100000.0,,50,50,,,
139,비금융회사,신승에너지,동일인측,친족,인척 4촌 이내,,,,,,,,7100000.0,,50,50,,,
140,비금융회사,신승에너지,동일인측,친족,친족 합계,,,,,,,,7100000.0,,0,0,0.0,0.0,
141,비금융회사,신승에너지,동일인측,비영리법인,비영리법인,,,,,,,,7100000.0,,50,0,,0.0,
142,비금융회사,신승에너지,동일인측,등기된 임원,등기된 임원,,,,,,,,7100000.0,,50,0,,0.0,
143,비금융회사,신승에너지,동일인측,자기주식,자기주식,,,,,,,,7100000.0,,50,0,,0.0,
144,비금융회사,신승에너지,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼천리이에스,7069500.0,99.57%,-,-,7069500.0,99.57%,7100000.0,0.9957042253521127,1,1,0.9957042253521127,0.9957042253521127,삼천리이에스
